Company Name,Sales Total
Aux joyeux ecclésiastiques,153691.28
Bigfoot Breweries,22391.2
Cooperativa de Quesos 'Las Cabras',25159.43
Exotic Liquids,32188.06
Forêts d'érables,61587.57
Formaggi Fortini s.r.l.,48225.164
Gai pâturage,117981.18
"G'day, Mate",65626.77
Grandma Kelly's Homestead,41953.3
Heli Süßwaren GmbH & Co. KG,38653.418
Karkki Oy,28442.729
Leka Trading,42017.645
Lyngbysild,10221.175
Ma Maison,22154.637
Mayumi's,14736.755
New England Seafood Cannery,26590.975
New Orleans Cajun Delights,31167.99
Nord-Ost-Fisch Handelsgesellschaft mbH,13424.197
Norske Meierier,43141.51
Pasta Buttini s.r.l.,50254.61
"Pavlova, Ltd.",106459.77
PB Knäckebröd AB,11724.06
Plutzer Lebensmittelgroßmärkte AG,145372.4
"Specialty Biscuits, Ltd.",46243.98
Svensk Sjöföda AB,20144.06
Tokyo Traders,30526.34
